Jaar;AMS;RTM;EIN
2012;510000;-;-
2013;510000;-;-
2014;510000;-;-
2015;500000;-;-
2016;500000;-;-
2017;500000;-;43000
2018;500000;-;43000
2019;500000;-;41500
2020;500000;-;41500
2021;500000;-;41500
