,ID,Airports,Periods,TotalFlights_3,TotalPassengers_12,EuropeTotal_22,Africa_26,America_32,Asia_36,Oceania_40,OtherUnknown_41,TotalCargo_43,TotalUnloadedCargo_46,TotalLoadedCargo_49,TotalMail_74,TotalUnloadedMail_77,TotalLoadedMail_80,Passengers_flight
685,893,Rotterdam The Hague,2004MM01,945,36511,36511,0,0,0,0,0,0,0,0,0,0,0,"38,63597884"
686,894,Rotterdam The Hague,2004MM02,1090,40400,40356,44,0,0,0,0,0,0,0,0,0,0,"37,06422018"
687,895,Rotterdam The Hague,2004MM03,1435,62096,61946,150,0,0,0,0,13,0,13,0,0,0,"43,27247387"
688,897,Rotterdam The Hague,2004MM04,1524,97008,96988,0,20,0,0,0,0,0,0,0,0,0,"63,65354331"
689,898,Rotterdam The Hague,2004MM05,1658,114942,114942,0,0,0,0,0,25,0,25,0,0,0,"69,32569361"
690,899,Rotterdam The Hague,2004MM06,1907,111210,111210,0,0,0,0,0,0,0,0,0,0,0,"58,31672784"
691,901,Rotterdam The Hague,2004MM07,1730,124052,124052,0,0,0,0,0,0,0,0,0,0,0,"71,70635838"
692,902,Rotterdam The Hague,2004MM08,1661,121751,121748,0,3,0,0,0,0,0,0,0,0,0,"73,29981939"
693,903,Rotterdam The Hague,2004MM09,1762,111949,111872,50,27,0,0,0,0,0,0,0,0,0,"63,53518729"
694,905,Rotterdam The Hague,2004MM10,1755,115922,115872,50,0,0,0,0,4,2,2,0,0,0,"66,05242165"
695,906,Rotterdam The Hague,2004MM11,1499,82476,82075,401,0,0,0,0,0,0,0,0,0,0,"55,02068045"
696,907,Rotterdam The Hague,2004MM12,1313,78197,78157,40,0,0,0,0,0,0,0,0,0,0,"59,55597867"
697,909,Rotterdam The Hague,2004JJ00,18279,1096514,1095729,735,50,0,0,0,43,3,40,0,0,0,"59,98763609"
698,910,Rotterdam The Hague,2005MM01,1342,72452,71805,647,0,0,0,0,0,0,0,0,0,0,"53,9880775"
699,911,Rotterdam The Hague,2005MM02,1444,73154,73108,45,1,0,0,0,2,0,2,0,0,0,"50,66066482"
700,912,Rotterdam The Hague,2005MM03,1633,86574,85041,262,977,294,0,0,1,1,0,0,0,0,"53,01530925"
701,914,Rotterdam The Hague,2005MM04,1541,86409,86409,0,0,0,0,0,1,0,1,0,0,0,"56,07332901"
702,915,Rotterdam The Hague,2005MM05,1601,101831,101831,0,0,0,0,0,0,0,0,0,0,0,"63,60462211"
703,916,Rotterdam The Hague,2005MM06,1714,102993,102993,0,0,0,0,0,0,0,0,0,0,0,"60,08926488"
704,918,Rotterdam The Hague,2005MM07,1628,110488,110488,0,0,0,0,0,0,0,0,0,0,0,"67,86732187"
705,919,Rotterdam The Hague,2005MM08,1468,96942,96942,0,0,0,0,0,0,0,0,0,0,0,"66,03678474"
