ID;Airports;Periods;TotalFlights_3;TotalPassengers_12;EuropeTotal_22;Africa_26;America_32;Asia_36;Oceania_40;OtherUnknown_41;TotalCargo_43;TotalUnloadedCargo_46;TotalLoadedCargo_49;TotalMail_74;TotalUnloadedMail_77;TotalLoadedMail_80;Passengers_flight
69;A045844;2002JJ00;441593;41982755;29298420;1816348;6582360;4285550;0;0;1280173;625065;655108;       .;       .;       .;95
70;A045844;2003MM01;32975;2813139;1820298;150612;497324;344905;0;0;99496;52076;47421;3767;1577;2190;85
71;A045844;2003MM02;31210;2741087;1866580;142411;430647;301449;0;0;104992;53712;51281;3844;1714;2129;88
72;A045844;2003MM03;35283;3099952;2152637;140232;502727;304356;0;0;124255;65085;59170;4065;1788;2277;88
74;A045844;2003MM04;34247;3108279;2251494;123190;482273;251322;0;0;108258;56627;51631;4290;1777;2513;91
75;A045844;2003MM05;37126;3553181;2650000;119544;532927;250710;0;0;106940;53115;53826;4061;1709;2352;96
76;A045844;2003MM06;36582;3695057;2699580;125626;582663;287188;0;0;104939;51958;52980;3607;1523;2084;101
78;A045844;2003MM07;39230;4244484;3052051;165910;656404;370119;0;0;105896;50801;55095;3498;1475;2023;108
79;A045844;2003MM08;38672;4194993;2956211;176047;651163;411572;0;0;107287;53215;54071;3459;1516;1943;108
80;A045844;2003MM09;37886;3898022;2791710;156403;585691;364218;0;0;110783;57219;53564;3506;1504;2002;103
82;A045844;2003MM10;38118;3915075;2785110;168751;583304;377910;0;0;122139;63209;58929;3829;1640;2189;103
83;A045844;2003MM11;33627;3067998;2078860;148183;510367;330588;0;0;125823;65787;60036;4210;1841;2369;91
84;A045844;2003MM12;31880;2932855;1920118;154550;524144;334043;0;0;120480;64676;55804;5470;2452;3018;92
86;A045844;2003JJ00;426836;41264122;29024649;1771459;6539634;3928380;0;0;1341288;687481;653808;47606;20517;27089;97
87;A045844;2004MM01;32016;2818427;1788792;167575;511108;350952;0;0;103296;56807;46489;3722;1640;2082;88
88;A045844;2004MM02;31900;2922639;1963539;164396;461663;333041;0;0;117121;61473;55648;3632;1621;2010;92
89;A045844;2004MM03;35825;3382340;2297388;169311;552050;363591;0;0;129924;69915;60009;3796;1729;2067;94
91;A045844;2004MM04;35818;3657936;2558114;149863;580744;369215;0;0;118589;65408;53181;3428;1531;1897;102
92;A045844;2004MM05;39208;4076485;2963055;137540;615433;360457;0;0;118062;62290;55772;3463;1612;1852;104
93;A045844;2004MM06;38581;4008925;2874955;136168;623784;374018;0;0;113597;59382;54215;3496;1564;1932;104
95;A045844;2004MM07;40367;4565684;3267379;187039;679539;431727;0;0;117161;59131;58030;3764;1732;2032;113
96;A045844;2004MM08;40033;4483625;3175082;192101;677812;438630;0;0;112893;58728;54165;3479;1631;1848;112
97;A045844;2004MM09;38946;4153659;2957388;177427;624868;393976;0;0;119657;63583;56074;3830;1765;2065;107
99;A045844;2004MM10;40144;4155554;2954763;186054;613927;400810;0;0;136562;72898;63664;4000;1864;2137;104
100;A045844;2004MM11;34764;3247807;2176382;167911;532964;370550;0;0;140446;76408;64038;3893;1795;2098;93
101;A045844;2004MM12;33328;3102830;2003444;169945;556277;372983;0;0;138744;76488;62256;5586;2588;2998;93
103;A045844;2004JJ00;440930;44575911;30980281;2005330;7030169;4559950;0;0;1466053;782511;683541;46088;21071;25017;101
104;A045844;2005MM01;32890;3082853;1951329;184170;555620;391734;0;0;120324;67632;52692;3834;1848;1986;94
105;A045844;2005MM02;31171;2960333;1958458;171742;486369;343764;0;0;118113;64208;53905;3647;1758;1889;95
106;A045844;2005MM03;34811;3442365;2295386;190042;579824;377113;0;0;130257;73447;56810;3903;1860;2044;99
108;A045844;2005MM04;36879;3735323;2575623;172515;595823;391362;0;0;125510;68578;56932;3714;1806;1908;101
109;A045844;2005MM05;40339;4328422;3135750;167175;645783;379714;0;0;117986;65052;52934;3763;1691;2072;107
110;A045844;2005MM06;39112;4196547;2979792;166320;663236;387199;0;0;118316;64078;54238;3328;1618;1710;107
112;A045844;2005MM07;40765;4795477;3400920;216677;731989;445891;0;0;122075;64278;57797;3288;1591;1697;118
113;A045844;2005MM08;40730;4695502;3312280;220048;719438;443736;0;0;117573;63125;54448;3284;1595;1689;115
114;A045844;2005MM09;39298;4377505;3107260;194959;659116;416169;0;0;122566;65590;56976;3631;1758;1874;111
116;A045844;2005MM10;39653;4297973;3068456;198327;627559;403631;0;0;135934;72955;62979;3982;1934;2048;108
117;A045844;2005MM11;34418;3362422;2261255;179059;536345;385763;0;0;138394;75671;62723;4123;1959;2164;98
118;A045844;2005MM12;32387;3213586;2101645;181502;546925;383514;0;0;137999;74608;63390;5566;2628;2938;99
120;A045844;2005JJ00;442453;46488308;32148154;2242536;7348027;4749590;0;0;1505046;819223;685823;46064;22046;24018;105
121;A045844;2006MM01;33363;3167956;2026452;194257;544084;403163;0;0;118780;67423;51357;3478;1686;1793;95
122;A045844;2006MM02;31463;3001753;2007183;173920;458786;361768;0;0;117907;62074;55833;3326;1582;1744;95
123;A045844;2006MM03;36570;3571343;2398490;189198;570315;413340;0;0;142932;77579;65353;3465;1569;1896;98
125;A045844;2006MM04;38031;3990145;2769772;183725;609323;427322;0;0;132200;72578;59622;3222;1528;1693;105
126;A045844;2006MM05;42459;4472259;3257982;173164;636673;404405;0;0;125666;66786;58880;3115;1494;1621;105
127;A045844;2006MM06;41764;4487988;3225022;179110;663559;420297;0;0;127958;67092;60866;2892;1383;1509;107
129;A045844;2006MM07;43278;5021544;3608394;240475;710743;461931;0;0;127718;64484;63234;3015;1391;1624;116
130;A045844;2006MM08;43024;4877589;3467992;246902;695529;467164;0;0;124368;65316;59053;3045;1386;1659;113
131;A045844;2006MM09;41588;4563348;3270084;209745;650356;433163;0;0;135241;70686;64555;3077;1435;1642;110
133;A045844;2006MM10;42396;4452338;3172420;214466;635102;430348;0;0;144734;76280;68455;3552;1670;1883;105
134;A045844;2006MM11;37942;3535989;2411766;190937;541302;391984;0;0;142320;74394;67926;3669;1709;1960;93
135;A045844;2006MM12;35454;3454304;2277280;198321;579243;399460;0;0;141481;72817;68663;4465;2032;2433;97
137;A045844;2006JJ00;467332;48596556;33892837;2394220;7295015;5014345;0;0;1581305;837508;743796;40321;18864;21457;104
138;A045844;2007MM01;35860;3331523;2154328;201437;563084;412674;0;0;120471;64759;55712;3211;1399;1813;93
139;A045844;2007MM02;34110;3213977;2176662;182879;483069;371367;0;0;123422;65518;57904;3011;1317;1694;94
140;A045844;2007MM03;39102;3896807;2666860;207091;597245;425611;0;0;145829;74625;71204;3409;1491;1918;100
142;A045844;2007MM04;39584;4121803;2902079;181934;613711;424079;0;0;134572;71767;62806;3121;1445;1676;104
143;A045844;2007MM05;43408;4566599;3320595;178246;660927;406831;0;0;132156;69465;62692;3295;1580;1714;105
144;A045844;2007MM06;42247;4529566;3243769;186269;674787;424740;0;0;140265;72652;67613;3281;1524;1756;107
146;A045844;2007MM07;44096;5172312;3710179;254729;740303;467095;0;0;137771;71188;66583;3107;1447;1659;117
147;A045844;2007MM08;44083;5121598;3650866;255969;739100;475661;0;0;134035;70512;63522;3199;1492;1706;116
148;A045844;2007MM09;41815;4713449;3375043;216357;689846;432203;0;0;144016;76873;67144;3318;1528;1790;113
150;A045844;2007MM10;42668;4656638;3304633;225510;677302;449193;0;0;151905;81307;70598;3650;1684;1966;109
151;A045844;2007MM11;37079;3647578;2462672;202276;570558;412065;0;0;155791;84909;70881;3806;1762;2044;98
152;A045844;2007MM12;35454;3545823;2320443;206870;600910;417600;0;0;148440;79800;68641;4695;2194;2501;100
154;A045844;2007JJ00;479506;50517673;35288129;2499567;7610842;5119119;0;0;1668673;883374;785299;41103;18864;22239;105
155;A045844;2008MM01;35963;3388686;2189398;202495;571163;425628;0;0;129862;71488;58374;3064;1364;1700;94
156;A045844;2008MM02;34673;3348700;2264336;189187;504413;390757;0;0;134264;72095;62169;2916;1295;1621;97
157;A045844;2008MM03;37967;3973721;2689359;211867;618652;453843;0;0;151952;83299;68653;3029;1360;1668;105
159;A045844;2008MM04;40127;4156519;2884980;189483;641553;440503;0;0;143191;76769;66423;2982;1370;1611;104
160;A045844;2008MM05;43416;4713826;3374084;195332;719165;425245;0;0;137242;73727;63515;2764;1233;1531;109
161;A045844;2008MM06;42659;4704148;3332943;206050;734132;431023;0;0;136993;72434;64559;2636;1206;1430;110
163;A045844;2008MM07;44164;5175950;3657271;258665;785198;474816;0;0;134431;70977;63454;2680;1193;1487;117
164;A045844;2008MM08;43134;5025767;3507332;252021;789682;476732;0;0;132523;71492;61030;2541;1152;1390;117
165;A045844;2008MM09;41827;4600637;3259929;208163;714221;418324;0;0;133486;75032;58454;2506;1144;1362;110
167;A045844;2008MM10;42188;4560314;3173983;235157;701390;449784;0;0;140120;78260;61860;2796;1243;1553;108
168;A045844;2008MM11;34683;3443549;2280659;206309;554525;402056;0;0;137521;76560;60962;3125;1376;1749;99
169;A045844;2008MM12;32762;3333873;2139286;204715;588793;401079;0;0;112193;61097;51095;3835;1689;2146;102
171;A045844;2008JJ00;473563;50425690;34753560;2559444;7922887;5189790;0;0;1623778;883230;740548;34873;15624;19249;106
172;A045844;2009MM01;32441;3072606;1931138;197616;545365;398487;0;0;94256;54362;39895;2701;1202;1500;95
173;A045844;2009MM02;30076;2891262;1931692;182847;432999;343724;0;0;99047;52759;46288;2357;1007;1351;96
174;A045844;2009MM03;34246;3390581;2276647;195240;532118;386576;0;0;109761;60719;49043;2641;1107;1535;99
176;A045844;2009MM04;36224;3888685;2679421;194228;600938;414098;0;0;102160;57979;44181;2505;1059;1446;107
177;A045844;2009MM05;38787;4173577;2987262;189496;625117;371702;0;0;104792;57318;47474;2432;999;1434;108
178;A045844;2009MM06;37849;4130139;2918724;193502;648069;369844;0;0;104341;55208;49133;2386;976;1410;109
180;A045844;2009MM07;40351;4851476;3427550;262432;709487;452007;0;0;112430;59190;53239;2254;938;1316;120
181;A045844;2009MM08;39865;4811406;3364375;258303;718515;470213;0;0;113034;59737;53296;2163;931;1233;121
182;A045844;2009MM09;37832;4322719;3060047;212201;639598;410873;0;0;114197;62787;51410;2441;1022;1419;114
184;A045844;2009MM10;37867;4274814;2968577;239976;628841;437420;0;0;127876;70905;56971;2564;1108;1456;113
185;A045844;2009MM11;32681;3355439;2246696;202414;507897;398432;0;0;135199;74585;60614;2738;1227;1511;103
186;A045844;2009MM12;30910;3293039;2129192;211488;543259;409100;0;0;123663;68089;55574;3564;1575;1990;107
188;A045844;2009JJ00;429129;46455743;31921321;2539743;7132203;4862476;0;0;1340756;733638;607117;30749;13149;17600;108
189;A045844;2010MM01;31321;3114971;1963752;212903;524222;414094;0;0;112578;61825;50753;2494;1157;1337;99
190;A045844;2010MM02;29857;3049444;2041702;197105;438838;371799;0;0;117104;62841;54263;1994;887;1107;102
191;A045844;2010MM03;34472;3697355;2481119;221296;548050;446888;0;0;139703;73292;66411;2229;969;1260;107
193;A045844;2010MM04;29353;3213665;2157027;178653;511218;366767;0;0;114961;62343;52618;1995;850;1144;109
194;A045844;2010MM05;38552;4447089;3156826;209826;651795;428642;0;0;134222;72565;61657;2202;934;1268;115
195;A045844;2010MM06;38344;4442139;3085676;221705;684091;450667;0;0;128390;67447;60943;1997;845;1152;116
197;A045844;2010MM07;41196;5119203;3567233;296377;744723;510870;0;0;134197;69462;64735;1922;770;1152;124
198;A045844;2010MM08;40955;5058056;3535358;274072;738406;510220;0;0;135963;71426;64537;1830;717;1113;124
199;A045844;2010MM09;38706;4623783;3255060;237873;669638;461167;0;0;135936;71721;64215;2077;878;1200;119
201;A045844;2010MM10;39368;4666071;3263544;261643;666264;474620;0;0;146803;77633;69169;2160;852;1308;119
202;A045844;2010MM11;34145;3719403;2504810;227261;551279;436053;0;0;143231;74625;68606;2325;954;1371;109
203;A045844;2010MM12;31123;3440349;2209325;228997;567866;434161;0;0;131510;70246;61263;2654;1077;1577;111
205;A045844;2010JJ00;427392;48591528;33221432;2767711;7296390;5305948;0;0;1574598;835426;739172;25878;10890;14988;114
206;A045844;2011MM01;32992;3466587;2225510;234287;543475;463311;0;0;127707;68093;59614;2096;855;1241;105
207;A045844;2011MM02;30605;3251624;2219657;169849;449995;412123;0;0;117015;60244;56771;1723;731;992;106
208;A045844;2011MM03;35822;3921482;2717875;186151;559728;457726;0;0;143094;74428;68666;2001;835;1166;109
210;A045844;2011MM04;38703;4466794;3169194;203195;633837;460568;0;0;137344;71400;65944;1944;809;1134;115
211;A045844;2011MM05;42379;4916693;3608363;183964;673676;450690;0;0;136553;70811;65741;1988;784;1204;116
212;A045844;2011MM06;41139;4939490;3568565;199545;711999;459354;0;0;126979;66208;60771;2103;851;1252;120
214;A045844;2011MM07;43761;5627276;4044394;269657;779420;533805;0;0;135182;67761;67421;1960;745;1215;129
215;A045844;2011MM08;43822;5540569;3973627;251831;779718;535367;0;0;131719;66658;65061;1859;724;1134;126
216;A045844;2011MM09;41819;5128892;3704535;226412;707812;490133;0;0;127765;65602;62163;2020;812;1208;123
218;A045844;2011MM10;42073;5024163;3602947;235663;687339;498214;0;0;140170;70507;69663;2213;931;1281;119
219;A045844;2011MM11;34902;3807138;2623838;216423;539229;427648;0;0;133936;68505;65432;2637;992;1645;109
220;A045844;2011MM12;34313;3777434;2543922;219427;568994;445089;0;0;131791;67417;64374;3337;1228;2109;110
222;A045844;2011JJ00;462330;53868142;38002427;2596404;7635222;5634028;0;0;1589253;817634;771619;25880;10298;15582;117
223;A045844;2012MM01;34162;3675761;2444953;219775;552784;458249;0;0;113611;59598;54013;2233;852;1381;108
224;A045844;2012MM02;33042;3552136;2432008;209804;493172;417150;0;0;123866;63683;60183;2032;754;1278;108
225;A045844;2012MM03;37190;4177498;2895625;223593;582615;475665;0;0;136457;70760;65696;2255;822;1434;112
227;A045844;2012MM04;38974;4568847;3251568;218592;632795;465890;0;0;127848;66609;61239;2055;756;1299;117
228;A045844;2012MM05;42648;5027940;3679671;205600;689656;453011;0;0;128973;67345;61628;2179;778;1401;118
229;A045844;2012MM06;41834;5078079;3655218;217575;737922;467364;0;0;126280;63556;62723;2230;782;1448;121
231;A045844;2012MM07;44593;5759003;4149748;291325;800062;517864;0;0;130140;63057;67083;2206;781;1425;129
232;A045844;2012MM08;44353;5671424;4043632;289747;804095;533945;0;0;124791;62471;62320;2129;765;1365;128
233;A045844;2012MM09;41799;5239374;3776436;244945;730943;487049;0;0;129588;66757;62832;2204;761;1443;125
235;A045844;2012MM10;42082;5100023;3663822;253993;687633;494575;0;0;130676;64611;66065;2525;884;1642;121
236;A045844;2012MM11;34833;3944666;2725085;228877;548682;442022;0;0;132646;69167;63479;2884;948;1936;113
237;A045844;2012MM12;33071;3858569;2568570;237001;581768;471229;0;0;131178;67293;63884;3443;1213;2230;117
239;A045844;2012JJ00;468581;55653320;39286336;2840827;7842127;5684013;0;0;1536055;784910;751146;28375;10095;18281;119
240;A045844;2013MM01;33360;3670053;2397295;237643;565379;469735;0;0;120433;63655;56778;2660;919;1741;110
241;A045844;2013MM02;31936;3563751;2446050;219209;480480;418008;0;0;118044;60991;57052;2312;778;1534;112
242;A045844;2013MM03;36854;4341934;3002942;237158;608364;493470;0;0;142318;72098;70220;2853;979;1874;118
244;A045844;2013MM04;40217;4779391;3406408;226283;664912;481788;0;0;127954;66582;61372;2773;939;1834;119
245;A045844;2013MM05;44108;5440427;3999143;223821;740154;477309;0;0;127328;65783;61545;2806;970;1836;123
246;A045844;2013MM06;42758;5404974;3878158;235607;790054;501155;0;0;128607;64080;64528;2678;960;1717;126
248;A045844;2013MM07;45286;5934128;4275317;278212;835820;544779;0;0;128687;63396;65291;2777;987;1790;131
249;A045844;2013MM08;44963;5942981;4226967;297109;854470;564431;0;0;132412;66088;66324;2768;964;1803;132
250;A045844;2013MM09;43316;5477811;3980218;221835;764189;511569;0;0;134087;67965;66122;2845;994;1851;126
