ID;Airports;Periods;TotalFlights_3;TotalPassengers_12;EuropeTotal_22;Africa_26;America_32;Asia_36;Oceania_40;OtherUnknown_41;TotalCargo_43;TotalUnloadedCargo_46;TotalLoadedCargo_49;TotalMail_74;TotalUnloadedMail_77;TotalLoadedMail_80;Passengers_flight
313;A045844;2017MM05;51232;6988685;5266504;218144;912406;591622;0;0;157477;80584;76893;2185;766;1419;136
314;A045844;2017MM06;49591;6904028;5208558;203888;909338;582240;0;0;153580;77514;76066;2185;797;1388;139
316;A045844;2017MM07;52112;7532873;5649595;270626;952462;660185;0;0;155395;77714;77681;2196;771;1425;145
317;A045844;2017MM08;52466;7608101;5702662;286372;958942;660122;0;0;154070;78714;75356;1837;671;1167;145
318;A045844;2017MM09;49841;7044350;5298309;242942;889357;613735;0;0;158331;80888;77442;1733;536;1197;141
320;A045844;2017MM10;50259;6975594;5228557;263234;859618;624179;0;0;164135;84691;79444;2022;762;1261;139
321;A045844;2017MM11;41970;5657189;4107484;261153;709103;579443;0;0;157107;80343;76764;2168;733;1435;135
322;A045844;2017MM12;40319;5437988;3831216;267957;746677;592138;0;0;151448;77585;73863;2464;834;1630;135
324;A045844;2017JJ00;555785;76203629;56256652;2947797;9789827;7209298;0;0;1839139;940917;898222;25813;9017;16796;137
325;A045844;2018MM01;41247;5410899;3805859;270955;734088;599996;0;0;140371;72820;67551;2031;653;1378;131
326;A045844;2018MM02;39014;5237331;3793051;244383;641702;558192;0;0;141012;73070;67942;1586;557;1029;134
327;A045844;2018MM03;44687;6151187;4455464;276990;795410;623321;0;0;155354;76933;78421;1962;709;1253;138
329;A045844;2018MM04;47362;6730695;4932741;262484;903740;631721;0;0;145390;74249;71141;1804;654;1150;142
330;A045844;2018MM05;51151;7261667;5456899;241021;962874;600868;0;0;152516;77749;74767;1643;615;1029;142
331;A045844;2018MM06;49764;7233806;5382900;243310;991084;616508;0;0;149711;74834;74877;1658;615;1043;145
333;A045844;2018MM07;52126;7691695;5689224;293771;1031791;676903;0;0;150971;75012;75959;1642;622;1020;148
334;A045844;2018MM08;52326;7786633;5733377;310908;1044614;697731;0;0;153929;77981;75948;1674;605;1069;149
335;A045844;2018MM09;50660;7294410;5429424;268303;969446;627225;0;0;154496;78997;75499;1658;619;1039;144
337;A045844;2018MM10;51475;7262779;5388538;290957;942167;641115;0;0;165457;85774;79683;1831;686;1145;141
338;A045844;2018MM11;42585;5802548;4174366;271743;770229;586210;0;0;157948;81792;76156;1924;676;1248;136
339;A045844;2018MM12;42149;5742668;4043822;277521;816561;604756;0;0;151800;78634;73166;2073;740;1333;136
341;A045844;2018JJ00;564546;79606318;58285665;3252346;10603706;7464546;0;0;1818955;927846;891109;21486;7751;13736;141
342;A045844;2019MM01;41285;5495052;3839988;280048;771225;603791;0;0;133445;71032;62413;1615;560;1055;133
343;A045844;2019MM02;39204;5352301;3866027;252834;678346;555091;0;0;128322;65531;62791;1398;485;913;137
344;A045844;2019MM03;44649;6270788;4547261;278905;835917;608705;0;0;155427;78423;77004;1761;705;1056;140
346;A045844;2019MM04;47934;6926059;5094415;272406;936407;622830;0;0;138159;71713;66446;1747;707;1040;144
347;A045844;2019MM05;51719;7396960;5575054;235842;997494;588567;0;0;144540;71898;72642;1860;796;1064;143
348;A045844;2019MM06;50135;7471334;5581133;262881;1027668;599645;0;0;131970;67227;64743;1736;722;1014;149
350;A045844;2019MM07;51786;7730263;5714888;297264;1064565;653541;0;0;137391;68611;68779;1876;797;1078;149
351;A045844;2019MM08;52127;7859458;5796841;314749;1080202;667656;0;0;135263;68521;66742;1774;723;1051;151
352;A045844;2019MM09;51091;7486440;5597732;278412;998333;611963;0;0;140637;71664;68973;1747;735;1012;147
354;A045844;2019MM10;51135;7354352;5481390;291179;964346;617436;0;0;150127;77000;73127;1974;824;1149;144
355;A045844;2019MM11;42195;5885771;4237242;271806;795614;581109;0;0;148037;76879;71158;2133;883;1250;139
356;A045844;2019MM12;42771;5938523;4210901;277828;855812;593981;0;0;138385;71249;67136;2338;958;1381;139
358;A045844;2019JJ00;566031;81167301;59542872;3314154;11005929;7304315;0;0;1681703;859748;821954;21959;8895;13064;143
359;A045844;2020MM01;41768;5595249;3933548;280752;787734;593215;0;0;122254;66849;55406;1908;777;1131;134
360;A045844;2020MM02;39299;5281600;3850441;268371;712192;450596;0;0;126726;63246;63480;1491;602;890;134
361;A045844;2020MM03;28306;2773554;1916112;166928;436831;253678;0;0;127995;65557;62439;1167;511;656;98
363;A045844;2020MM04;4759;133752;75422;2875;30099;24851;503;0;103420;54036;49384;382;91;290;28
364;A045844;2020MM05;6556;220120;143839;3741;42055;30485;0;0;117525;65034;52491;542;161;381;34
365;A045844;2020MM06;9336;526544;393374;7540;74685;50943;0;0;121692;63285;58407;855;313;542;56
367;A045844;2020MM07;19701;1690515;1466056;21975;124208;78276;0;0;132684;68955;63729;1083;403;681;86
368;A045844;2020MM08;27575;2242935;1996656;24178;147036;75065;0;0;133168;70629;62539;1283;461;822;81
369;A045844;2020MM09;25290;1547263;1311330;30538;132894;72501;0;0;135059;71541;63518;1251;522;729;61
371;A045844;2020MM10;22028;1303123;1031534;48746;146461;76382;0;0;153109;82222;70887;1521;651;871;59
372;A045844;2020MM11;16283;965071;691389;47524;154035;72123;0;0;157508;84784;72724;1511;696;815;59
373;A045844;2020MM12;17325;1306018;904778;83497;227504;90238;0;0;146441;77331;69110;1837;923;913;75
375;A045844;2020JJ00;258226;23585744;17714479;986665;3015734;1868353;503;0;1577582;833468;744113;14831;6110;8722;91
376;A045844;2021MM01;15907;909617;590675;67126;174464;77352;0;0;140859;77384;63475;1403;692;711;57
377;A045844;2021MM02;11528;519827;339063;39177;88342;53244;0;0;137288;75236;62051;1109;563;546;45
378;A045844;2021MM03;13228;676647;447426;36634;123707;68880;0;0;165377;87809;77568;1379;732;647;51
380;A045844;2021MM04;14891;817876;567351;42789;128293;79442;0;0;152164;80336;71828;1258;650;608;55
381;A045844;2021MM05;16987;1169673;867506;49758;169040;83368;0;0;158164;86166;71998;1223;633;590;69
382;A045844;2021MM06;21701;1870330;1413413;87189;269639;100089;0;0;145582;76720;68861;1128;581;547;86
384;A045844;2021MM07;33916;3515159;2757723;169327;442554;145553;0;0;138789;69244;69546;978;484;494;104
385;A045844;2021MM08;37282;4479180;3593589;194747;522054;168790;0;0;140198;74639;65559;1049;538;511;120
386;A045844;2021MM09;35262;4013477;3298932;139632;435718;139194;0;0;144584;75143;69441;1002;534;468;114
388;A045844;2021MM10;36465;4395945;3613183;134236;475163;173363;0;0;161776;85529;76247;1040;579;461;121
389;A045844;2021MM11;32026;3492940;2670142;117136;518786;186876;0;0;156617;84022;72596;943;495;447;109
390;A045844;2021MM12;33869;3208864;2277586;122891;593224;215160;0;0;153901;81633;72268;1038;603;435;95
392;A045844;2021JJ00;303062;29069535;22436589;1200642;3940984;1491311;0;0;1795298;953860;841438;13550;7085;6465;96
393;A045844;2022MM01;29604;2831598;2008228;123579;522154;177637;0;0;131588;72158;59430;827;440;387;96
394;A045844;2022MM02;27456;3040193;2279907;124783;455413;180089;0;0;126020;65478;60541;824;445;378;111
395;A045844;2022MM03;34568;4241663;3203309;163551;632949;241852;0;0;137570;68737;68833;819;452;366;123
397;A045844;2022MM04;38824;5140680;3944612;173746;766679;255643;0;0;126658;65107;61551;688;375;313;132
398;A045844;2022MM05;44823;6092054;4740840;193991;861903;295318;0;0;128112;64482;63630;685;349;336;136
399;A045844;2022MM06;43248;6118527;4664238;211210;938230;304849;0;0;125858;65036;60822;667;340;327;141
401;A045844;2022MM07;43218;6211931;4597397;255610;999352;359572;0;0;130029;66852;63177;584;303;280;144
402;A045844;2022MM08;44862;6378969;4746288;275785;988035;368858;0;0;125037;63153;61884;549;305;244;142
403;A043590;1997JJ00;349476;31021002;20282682;1223391;6038044;3379017;97868;0;1161234;578949;582285;       .;       .;       .;89
404;A043590;1998JJ00;376810;33946104;22496275;1293242;6367845;3680895;107847;0;1171252;580416;590836;       .;       .;       .;90
405;A043590;1999MM01;29640;2372578;1496494;113309;455002;298997;8776;0;88159;47149;41010;       .;       .;       .;80
406;A043590;1999MM02;27526;2332664;1534949;107207;408987;274295;7226;0;94718;49131;45587;       .;       .;       .;85
407;A043590;1999MM03;31473;2825328;1837844;117193;531834;330139;8318;0;108780;55243;53537;       .;       .;       .;90
409;A043590;1999MM04;32013;2901478;1926831;111309;524706;331128;7504;0;97708;49752;47956;       .;       .;       .;91
410;A043590;1999MM05;34133;3263955;2231219;111085;588521;326257;6873;0;97092;48244;48848;       .;       .;       .;96
411;A043590;1999MM06;33426;3226738;2179958;110111;614953;314288;7428;0;92819;44290;48529;       .;       .;       .;97
413;A043590;1999MM07;35529;3610786;2420422;145286;670512;365967;8599;0;96040;44801;51239;       .;       .;       .;102
414;A043590;1999MM08;35625;3709274;2461637;150400;692770;395456;9011;0;90496;42945;47551;       .;       .;       .;104
415;A043590;1999MM09;34411;3467185;2340328;134339;634140;350160;8218;0;95374;45937;49437;       .;       .;       .;101
417;A043590;1999MM10;35126;3449646;2300568;137098;628633;374954;8393;0;107464;52505;54959;       .;       .;       .;98
418;A043590;1999MM11;33182;2802951;1819948;123495;515870;335969;7669;0;106774;53191;53583;       .;       .;       .;84
419;A043590;1999MM12;31521;2462530;1584168;111273;464360;295176;7553;0;105293;54364;50929;       .;       .;       .;78
421;A043590;1999JJ00;393605;36425113;24134366;1472105;6730288;3992786;95568;0;1180717;587552;593165;       .;       .;       .;93
422;A043590;2000MM01;32537;2490645;1582157;117626;468432;314367;8063;0;92023;47339;44684;       .;       .;       .;77
423;A043590;2000MM02;31894;2561520;1675373;119506;444379;314424;7838;0;99681;51070;48611;       .;       .;       .;80
424;A043590;2000MM03;34263;3067554;2017959;131527;555392;354650;8026;0;109485;54972;54513;       .;       .;       .;90
426;A043590;2000MM04;33815;3226951;2142676;129266;575714;371629;7666;0;100535;49990;50545;       .;       .;       .;95
427;A043590;2000MM05;36539;3546493;2441992;117623;623217;355685;7976;0;98759;48078;50681;       .;       .;       .;97
428;A043590;2000MM06;35206;3492787;2373124;118334;655471;339040;6818;0;96432;46514;49918;       .;       .;       .;99
430;A043590;2000MM07;37108;3952263;2674616;152630;714381;403142;7494;0;98766;44589;54177;       .;       .;       .;107
431;A043590;2000MM08;37258;3932072;2648907;162638;702802;409908;7817;0;94547;43362;51185;       .;       .;       .;106
432;A043590;2000MM09;35496;3720284;2533364;148315;650945;380381;7279;0;103074;49060;54014;       .;       .;       .;105
434;A043590;2000MM10;36170;3651555;2475461;152229;620993;394934;7938;0;110050;52001;58049;       .;       .;       .;101
435;A043590;2000MM11;32902;2914972;1901315;135438;521696;348726;7797;0;107780;50519;57261;       .;       .;       .;89
436;A043590;2000MM12;31739;2713514;1731137;130309;505127;338342;8599;0;111462;54943;56519;       .;       .;       .;85
438;A043590;2000JJ00;414927;39270610;26198081;1615441;7038549;4325228;93311;0;1222594;592437;630157;       .;       .;       .;95
439;A043590;2001MM01;32835;2703997;1706476;139257;495888;353274;9102;0;95384;48967;46417;       .;       .;       .;82
440;A043590;2001MM02;30436;2591373;1698103;128834;432925;324347;7164;0;99928;49317;50611;       .;       .;       .;85
441;A043590;2001MM03;34529;3163748;2078101;145156;554418;380875;5198;0;111857;54328;57530;       .;       .;       .;92
443;A043590;2001MM04;34151;3355137;2243954;136403;598527;376253;0;0;97008;46171;50836;       .;       .;       .;98
444;A043590;2001MM05;37255;3613702;2516386;123465;618800;355051;0;0;94515;44429;50086;       .;       .;       .;97
445;A043590;2001MM06;36209;3686773;2519289;136514;660362;370608;0;0;93457;41815;51642;       .;       .;       .;102
447;A043590;2001MM07;38386;4098716;2804259;162892;691505;440060;0;0;89024;38322;50702;       .;       .;       .;107
448;A043590;2001MM08;38451;4063517;2749663;169015;689852;454987;0;0;88530;39752;48778;       .;       .;       .;106
449;A043590;2001MM09;36432;3551489;2494721;146581;537573;372614;0;0;95066;43056;52010;       .;       .;       .;97
451;A043590;2001MM10;36486;3226663;2290737;144036;465976;325914;0;0;105253;48961;56292;       .;       .;       .;88
452;A043590;2001MM11;31059;2656842;1831133;119551;419974;286184;0;0;106775;51018;55757;       .;       .;       .;86
453;A043590;2001MM12;30227;2597484;1710139;126532;453844;306969;0;0;106412;52305;54107;       .;       .;       .;86
455;A043590;2001JJ00;416456;39309441;26642961;1678236;6619644;4347136;21464;0;1183208;558441;624767;       .;       .;       .;94
456;A043590;2002MM01;30835;2572399;1658347;138824;448415;326813;0;0;91162;45620;45542;       .;       .;       .;83
457;A043590;2002MM02;28453;2596631;1755008;135528;402249;303846;0;0;95839;47369;48469;       .;       .;       .;91
458;A043590;2002MM03;32365;3165225;2127732;157328;518028;362137;0;0;115482;57033;58449;       .;       .;       .;98
460;A043590;2002MM04;33107;3303145;2312401;136071;507066;347607;0;0;101120;48948;52172;       .;       .;       .;100
461;A043590;2002MM05;35599;3698247;2658970;127942;563262;348073;0;0;100253;47218;53036;       .;       .;       .;104
462;A043590;2002MM06;34519;3668631;2561913;138219;608582;359917;0;0;103424;47838;55586;       .;       .;       .;106
464;A043590;2002MM07;36973;4130433;2897866;169150;656689;406728;0;0;98256;44575;53681;       .;       .;       .;112
465;A043590;2002MM08;36840;4131400;2863699;174621;665832;427248;0;0;96716;45668;51048;       .;       .;       .;112
466;A043590;2002MM09;35111;3864358;2717046;161988;605003;380321;0;0;101489;48574;52915;       .;       .;       .;110
468;A043590;2002MM10;35663;3721110;2599838;168404;584454;368414;0;0;109809;54134;55675;       .;       .;       .;104
469;A043590;2002MM11;31670;2892532;1932027;142981;493734;323790;0;0;118098;57432;60666;       .;       .;       .;91
470;A043590;2002MM12;30250;2843451;1836464;147694;528920;330373;0;0;108250;53224;55026;       .;       .;       .;94
472;A043590;2002JJ00;401385;40587562;27921311;1798750;6582234;4285267;0;0;1239900;597635;642265;       .;       .;       .;101
473;A043590;2003MM01;30549;2747502;1754994;150279;497324;344905;0;0;96585;49905;46680;3767;1577;2190;90
474;A043590;2003MM02;28780;2668775;1794268;142411;430647;301449;0;0;102236;51553;50683;3844;1714;2129;93
475;A043590;2003MM03;32562;3018602;2071769;139947;502530;304356;0;0;120845;62517;58327;4065;1788;2277;93
477;A043590;2003MM04;31560;3013392;2156829;122968;482273;251322;0;0;104582;54104;50478;4290;1777;2513;95
478;A043590;2003MM05;33896;3393657;2490478;119544;532927;250708;0;0;104029;51064;52964;4060;1709;2351;100
479;A043590;2003MM06;33511;3544233;2548756;125626;582663;287188;0;0;102249;50139;52110;3607;1523;2084;106
481;A043590;2003MM07;36036;4075832;2886991;162577;656145;370119;0;0;103776;49216;54561;3498;1475;2023;113
482;A043590;2003MM08;35722;4032923;2797706;172482;651163;411572;0;0;105261;51765;53496;3459;1516;1943;113
483;A043590;2003MM09;34508;3734509;2628432;156171;585688;364218;0;0;108069;55160;52909;3506;1504;2002;108
485;A043590;2003MM10;35108;3761285;2631320;168751;583304;377910;0;0;119003;60799;58203;3829;1640;2189;107
486;A043590;2003MM11;31054;2970090;1980956;148179;510367;330588;0;0;122583;63271;59312;4210;1841;2369;96
487;A043590;2003MM12;29710;2847849;1835351;154311;524144;334043;0;0;116939;62196;54743;5470;2452;3018;96
489;A043590;2003JJ00;392996;39808649;27577850;1763246;6539175;3928378;0;0;1306155;661689;644466;47605;20517;27088;101
490;A043590;2004MM01;29762;2741680;1712817;166803;511108;350952;0;0;100298;54568;45730;3722;1640;2082;92
491;A043590;2004MM02;29361;2830639;1871583;164352;461663;333041;0;0;113908;59041;54867;3632;1621;2010;96
492;A043590;2004MM03;32726;3257673;2172871;169161;552050;363591;0;0;126798;67679;59119;3796;1729;2067;100
494;A043590;2004MM04;32678;3480085;2380283;149863;580724;369215;0;0;115584;63097;52486;3428;1531;1897;106
495;A043590;2004MM05;35697;3843271;2729841;137540;615433;360457;0;0;115226;60154;55073;3463;1612;1852;108
496;A043590;2004MM06;34865;3796961;2662991;136168;623784;374018;0;0;110488;57025;53463;3496;1564;1932;109
498;A043590;2004MM07;36912;4337767;3039462;187039;679539;431727;0;0;114176;56991;57185;3764;1732;2032;118
499;A043590;2004MM08;36696;4243630;2935092;192101;677807;438630;0;0;109672;56106;53565;3479;1631;1848;116
500;A043590;2004MM09;35330;3927202;2731010;177377;624841;393974;0;0;116297;61131;55166;3830;1765;2065;111
502;A043590;2004MM10;36481;3915296;2714635;185928;613923;400810;0;0;131131;68472;62659;4000;1864;2137;107
503;A043590;2004MM11;31646;3087396;2017426;166456;532964;370550;0;0;134839;71659;63180;3893;1795;2098;98
504;A043590;2004MM12;30584;2963792;1866050;168605;556277;372860;0;0;132699;71618;61080;5586;2588;2998;97
506;A043590;2004JJ00;402738;42425392;28834061;2001393;7030113;4559825;0;0;1421115;747540;673575;46088;21071;25017;105
507;A043590;2005MM01;30353;2955792;1826971;181467;555620;391734;0;0;114306;62626;51680;3834;1848;1986;97
508;A043590;2005MM02;28579;2829925;1829433;170360;486368;343764;0;0;112970;59881;53088;3647;1758;1889;99
509;A043590;2005MM03;31827;3281195;2137360;188169;578847;376819;0;0;125370;69467;55903;3903;1860;2044;103
511;A043590;2005MM04;33739;3548011;2388567;172259;595823;391362;0;0;121326;65205;56121;3714;1806;1908;105
512;A043590;2005MM05;36673;4059648;2867159;166992;645783;379714;0;0;113852;61692;52160;3763;1691;2072;111
513;A043590;2005MM06;35239;3941175;2724670;166320;663236;386949;0;0;114623;61176;53446;3328;1618;1710;112
515;A043590;2005MM07;37256;4528594;3134037;216677;731989;445891;0;0;118446;61443;57003;3288;1591;1697;122
516;A043590;2005MM08;37282;4433151;3050034;220048;719438;443631;0;0;113511;59809;53702;3284;1595;1689;119
517;A043590;2005MM09;35712;4145737;2875493;194959;659116;416169;0;0;117368;61512;55857;3631;1758;1874;116
519;A043590;2005MM10;36321;4077132;2848214;197728;627559;403631;0;0;130266;68389;61877;3982;1934;2048;112
520;A043590;2005MM11;31482;3198519;2097811;179056;535889;385763;0;0;133206;71412;61793;4123;1959;2164;102
521;A043590;2005MM12;30131;3078660;1966719;181502;546925;383514;0;0;134612;71873;62739;5566;2628;2938;102
523;A043590;2005JJ00;404594;44077539;29746468;2235537;7346593;4748941;0;0;1449855;774486;675369;46064;22046;24018;109
524;A043590;2006MM01;30299;3028207;1887313;193679;544084;403131;0;0;114184;63662;50523;3478;1686;1793;100
525;A043590;2006MM02;28403;2858444;1864229;173797;458786;361632;0;0;113676;58903;54772;3326;1582;1744;101
526;A043590;2006MM03;33044;3399315;2226476;189198;570315;413326;0;0;137746;73649;64097;3465;1569;1896;103
528;A043590;2006MM04;34698;3808994;2588631;183725;609319;427319;0;0;127598;68988;58610;3222;1528;1693;110
529;A043590;2006MM05;38146;4176097;2962123;172949;636673;404352;0;0;121475;63491;57984;3115;1494;1621;109
530;A043590;2006MM06;37526;4228327;2965843;178628;663559;420297;0;0;124223;64340;59884;2892;1383;1509;113
532;A043590;2006MM07;39290;4744439;3331417;240440;710651;461931;0;0;123741;61572;62168;3015;1391;1624;121
533;A043590;2006MM08;39036;4608170;3198583;246900;695525;467162;0;0;119822;61951;57871;3045;1386;1659;118
534;A043590;2006MM09;37521;4295374;3002208;209745;650258;433163;0;0;130823;67371;63452;3077;1435;1642;114
536;A043590;2006MM10;38413;4201473;2921557;214466;635102;430348;0;0;139516;72304;67212;3552;1670;1883;109
537;A043590;2006MM11;34346;3353275;2229054;190935;541302;391984;0;0;136858;70135;66723;3669;1709;1960;98
538;A043590;2006MM12;32400;3286851;2109827;198321;579243;399460;0;0;136890;69249;67641;4465;2032;2433;101
540;A043590;2006JJ00;423122;45988966;31287261;2392783;7294817;5014105;0;0;1526552;795615;730937;40321;18864;21457;109
541;A043590;2007MM01;32686;3169889;1993371;200760;563084;412674;0;0;115764;61228;54536;3211;1399;1813;97
542;A043590;2007MM02;30915;3051720;2014433;182851;483069;371367;0;0;118630;61758;56872;3011;1317;1694;99
543;A043590;2007MM03;35459;3695426;2465479;207091;597245;425611;0;0;139895;70060;69835;3409;1491;1918;104
545;A043590;2007MM04;36079;3905501;2685778;181934;613710;424079;0;0;128957;67419;61539;3121;1445;1676;108
546;A043590;2007MM05;39509;4296458;3050454;178246;660927;406831;0;0;126509;65172;61337;3295;1580;1714;109
547;A043590;2007MM06;38054;4246247;2960451;186269;674787;424740;0;0;135483;69017;66465;3281;1524;1756;112
549;A043590;2007MM07;40464;4921849;3459722;254729;740303;467095;0;0;133444;67636;65808;3107;1447;1659;122
550;A043590;2007MM08;40136;4821446;3350716;255969;739100;475661;0;0;130053;67156;62897;3199;1492;1706;120
551;A043590;2007MM09;37832;4425064;3086664;216351;689846;432203;0;0;139510;73142;66367;3318;1528;1790;117
553;A043590;2007MM10;38653;4379099;3027094;225510;677302;449193;0;0;147181;77253;69928;3650;1684;1966;113
554;A043590;2007MM11;33886;3472889;2288084;202182;570558;412065;0;0;150699;80535;70163;3806;1762;2044;102
555;A043590;2007MM12;32299;3359160;2134644;206006;600910;417600;0;0;144158;76081;68077;4695;2194;2501;104
557;A043590;2007JJ00;435972;47744748;32516890;2497898;7610841;5119119;0;0;1610282;836457;773826;41103;18864;22239;110
558;A043590;2008MM01;32519;3200944;2002811;201342;571163;425628;0;0;124926;67105;57821;3064;1364;1700;98
559;A043590;2008MM02;31213;3153170;2070274;187866;504413;390617;0;0;129983;68371;61612;2916;1295;1621;101
560;A043590;2008MM03;34207;3741498;2458467;210536;618652;453843;0;0;147001;79042;67958;3029;1360;1668;109
562;A043590;2008MM04;36218;3918719;2647271;189481;641464;440503;0;0;138095;72354;65741;2982;1370;1611;108
563;A043590;2008MM05;39172;4403449;3063829;195332;719165;425123;0;0;131989;69255;62734;2764;1233;1531;112
564;A043590;2008MM06;38202;4400407;3029210;206050;734132;431015;0;0;131934;68237;63698;2636;1206;1430;115
566;A043590;2008MM07;39759;4847473;3328794;258665;785198;474816;0;0;129296;66471;62826;2680;1193;1487;122
567;A043590;2008MM08;39114;4716136;3197701;252021;789682;476732;0;0;127823;67482;60341;2541;1152;1390;121
568;A043590;2008MM09;37471;4297440;2957380;208163;714221;417676;0;0;128258;70549;57709;2506;1144;1362;115
570;A043590;2008MM10;38090;4272253;2886507;235155;701390;449201;0;0;135817;74620;61197;2796;1243;1553;112
571;A043590;2008MM11;32029;3271834;2109255;206309;554525;401745;0;0;133785;73407;60378;3125;1376;1749;102
572;A043590;2008MM12;30338;3168388;1973801;204715;588793;401079;0;0;108805;58215;50590;3835;1689;2146;104
574;A043590;2008JJ00;428332;47391711;31725300;2555635;7922798;5187978;0;0;1567712;835107;732604;34873;15624;19249;111
575;A043590;2009MM01;29843;2911748;1770284;197612;545365;398487;0;0;90767;51433;39334;2701;1202;1500;98
576;A043590;2009MM02;27555;2720999;1761430;182847;432998;343724;0;0;94948;49301;45647;2357;1007;1351;99
577;A043590;2009MM03;31503;3199918;2085984;195240;532118;386576;0;0;105079;56677;48401;2641;1107;1535;102
579;A043590;2009MM04;33256;3672623;2463559;194028;600938;414098;0;0;97604;54113;43491;2505;1059;1446;110
580;A043590;2009MM05;35264;3892013;2705907;189496;624908;371702;0;0;100447;53689;46758;2432;999;1434;110
581;A043590;2009MM06;34308;3850845;2639673;193502;648069;369601;0;0;100226;51936;48290;2386;976;1410;112
583;A043590;2009MM07;36666;4532467;3109369;262432;709298;451368;0;0;108305;56126;52179;2254;938;1316;124
584;A043590;2009MM08;36372;4484739;3037777;258303;718515;470144;0;0;108618;56549;52069;2163;931;1233;123
585;A043590;2009MM09;34184;4014972;2752356;212145;639598;410873;0;0;109540;59237;50303;2441;1022;1419;117
587;A043590;2009MM10;34315;3983758;2677612;239885;628841;437420;0;0;122542;66698;55844;2564;1108;1456;116
588;A043590;2009MM11;29820;3158459;2049798;202332;507897;398432;0;0;129702;70404;59298;2738;1227;1511;106
589;A043590;2009MM12;28179;3100569;1936722;211488;543259;409100;0;0;118591;64092;54500;3564;1575;1990;110
591;A043590;2009JJ00;391265;43523110;28990471;2539310;7131804;4861525;0;0;1286369;690256;596113;30749;13149;17600;111
592;A043590;2010MM01;28470;2935404;1784929;212738;524222;413515;0;0;106936;57415;49521;2494;1157;1337;103
593;A043590;2010MM02;27102;2855719;1847977;197105;438838;371799;0;0;112086;59056;53030;1994;887;1107;105
594;A043590;2010MM03;31373;3465611;2249379;221296;548050;446886;0;0;134089;69375;64714;2229;969;1260;110
596;A043590;2010MM04;26687;3006985;1950351;178649;511218;366767;0;0;110331;59030;51300;1995;850;1144;113
597;A043590;2010MM05;34623;4095110;2805648;209826;650994;428642;0;0;128771;68546;60225;2202;934;1268;118
598;A043590;2010MM06;34346;4104793;2748330;221705;684091;450667;0;0;123899;64250;59649;1997;845;1152;120
600;A043590;2010MM07;37036;4730788;3179518;295677;744723;510870;0;0;130220;66741;63479;1922;770;1152;128
601;A043590;2010MM08;36728;4642726;3120870;273230;738406;510220;0;0;130937;67991;62947;1830;717;1113;126
602;A043590;2010MM09;34583;4246919;2879591;237019;669142;461167;0;0;131159;68273;62886;2077;878;1200;123
604;A043590;2010MM10;35453;4308032;2905747;261403;666264;474618;0;0;141156;73417;67739;2160;852;1308;122
605;A043590;2010MM11;31417;3508154;2293615;227207;551279;436053;0;0;136927;70046;66881;2325;954;1371;112
606;A043590;2010MM12;28498;3236641;2006306;228549;567625;434161;0;0;125740;66252;59488;2654;1077;1577;114
608;A043590;2010JJ00;386316;45136882;29772261;2764404;7294852;5305365;0;0;1512251;790392;721859;25878;10890;14988;117
609;A043590;2011MM01;30363;3257275;2016202;234287;543475;463311;0;0;122254;64202;58052;2096;855;1241;107
610;A043590;2011MM02;28048;3045631;2013665;169848;449995;412123;0;0;111405;56530;54875;1723;731;992;109
611;A043590;2011MM03;32878;3657692;2454087;186151;559728;457726;0;0;135646;69277;66369;2001;835;1166;111
613;A043590;2011MM04;35292;4125747;2828147;203195;633837;460568;0;0;131324;67217;64106;1944;809;1134;117
614;A043590;2011MM05;38013;4472507;3164177;183964;673676;450690;0;0;130586;66909;63676;1988;784;1204;118
615;A043590;2011MM06;36920;4513455;3143255;198847;711999;459354;0;0;121858;63473;58385;2103;851;1252;122
617;A043590;2011MM07;39555;5150896;3570199;267472;779420;533805;0;0;130591;65497;65094;1960;745;1215;130
618;A043590;2011MM08;39631;5057815;3491964;250955;779716;535180;0;0;126824;64126;62698;1859;724;1134;128
619;A043590;2011MM09;37597;4681742;3257385;226412;707812;490133;0;0;123284;63159;60126;2020;812;1208;125
621;A043590;2011MM10;38066;4603682;3183023;235298;687339;498022;0;0;135804;68157;67647;2213;931;1281;121
622;A043590;2011MM11;32324;3580181;2399397;214130;539006;427648;0;0;128913;65540;63373;2637;992;1645;111
623;A043590;2011MM12;31558;3534002;2303809;216256;568994;444943;0;0;125315;63614;61702;3337;1228;2109;112
625;A043590;2011JJ00;420245;49680625;33825310;2586815;7634997;5633503;0;0;1523803;777700;746103;25880;10298;15582;118
626;A043590;2012MM01;31134;3422762;2195330;217000;552310;458122;0;0;108877;56373;52504;2233;852;1381;110
627;A043590;2012MM02;30069;3295209;2177863;207024;493172;417150;0;0;118016;59809;58207;2032;754;1278;110
628;A043590;2012MM03;33871;3868093;2589361;220458;582609;475665;0;0;131325;67619;63706;2255;822;1434;114
630;A043590;2012MM04;35348;4189245;2875204;215358;632793;465890;0;0;123613;63959;59654;2055;756;1299;119
631;A043590;2012MM05;38118;4544332;3199268;202397;689656;453011;0;0;124957;64893;60063;2179;778;1401;119
632;A043590;2012MM06;37449;4612845;3193777;213782;737922;467364;0;0;122386;61199;61187;2230;782;1448;123
634;A043590;2012MM07;40012;5221595;3616378;287292;800062;517863;0;0;126615;61156;65459;2206;781;1425;131
